Nº costura;Etiqueta;Tipo;X;Y;Radio detectado;Distancia a tubería;ID elemento origen;Itemcode;Diámetro;Inspeccionado;Observaciones
1;W-001;W;160.193;472.332;1.655;0.002;path10531;;;;
2;W-002;T;219.733;455.323;2.589;0.274;;;;;
3;W-003;T;250.851;437.465;2.545;0.152;;;;;
4;W-004;T;305.391;406.181;2.630;0.090;;;;;
5;W-005;T;319.632;377.966;1.655;0.409;;;;;
6;W-006;T;336.471;388.357;2.588;0.121;;;;;
7;W-007;T;391.114;357.054;2.630;0.258;;;;;
8;W-008;T;405.348;328.976;1.655;0.396;;;;;
9;W-009;T;422.181;339.224;2.588;0.130;;;;;
10;W-010;T;529.834;277.270;2.630;0.105;;;;;
11;W-011;T;560.980;259.433;2.545;0.097;;;;;
12;W-012;T;615.545;228.150;2.631;0.131;;;;;
13;W-013;T;629.903;200.007;1.570;0.370;;;;;
14;W-014;T;646.691;210.286;2.545;0.066;;;;;
