Nº costura;Etiqueta;Tipo;X;Y;Radio detectado;Distancia a tubería;ID elemento origen;Itemcode;Diámetro;Inspeccionado;Observaciones
1;W-001;W;530.559;103.326;1.739;0.015;path11636;;;;
2;W-002;W;530.559;147.785;1.738;0.028;path11632;;;;
3;W-003;W;530.559;182.064;1.739;0.028;path11588;;;;
4;W-004;W;477.357;195.471;1.697;0.073;path11596;;;;
5;W-005;W;515.881;173.408;1.697;0.001;path11592;;;;
6;W-006;W;462.764;220.924;1.697;0.002;path11600;;;;
7;W-007;W;462.764;355.154;1.697;0.002;path11604;;;;
8;W-008;W;395.732;410.814;1.697;0.071;path11612;;;;
9;W-009;W;383.939;435.932;1.740;0.040;path11616;;;;
10;W-010;W;391.916;481.834;1.697;0.005;path11620;;;;
11;W-011;W;394.717;515.689;1.697;0.002;path11624;;;;
12;W-012;W;394.717;575.932;1.697;0.001;path11628;;;;
13;W-013;W;448.086;380.779;1.739;0.078;path11608;;;;
